Entry,Mean Success Rate,Mean P/L,Average Hold Time,Median Hold Time,,,,,,
-10,74%, 57.08 , 101.02 , 45.00 ,,,,,,
-15,73%, 61.40 , 103.62 , 50.00 ,,,,,,
-20,72%, 28.08 , 106.63 , 51.67 ,,,,,,
-25,70%, 11.48 , 111.64 , 57.50 ,,,,,,
-30,70%, 1.72 , 111.73 , 59.00 ,,,,,,
-35,70%, 20.51 , 110.56 , 59.58 ,,,,,,
-40,70%, 14.39 , 113.28 , 63.44 ,,,,,,
-45,69%, 17.58 , 114.50 , 66.88 ,,,,,,
-50,68%, 12.60 , 117.38 , 69.17 ,,,,,,
-55,69%, 3.04 , 118.47 , 72.25 ,,,,,,
-60,68%, 1.31 , 118.53 , 71.59 ,,,,,,
-65,66%, 6.12 , 121.03 , 77.92 ,,,,,,
-70,66%, 10.54 , 121.57 , 84.04 ,,,,,,
-75,65%, 8.87 , 117.69 , 81.79 ,,,,,,
-80,66%, 15.74 , 114.56 , 80.50 ,,,,,,